PLAYER,SALARY,SEASON,TEAM,AGE,GP,W,L,PTS,3PM,REB,AST,TOV,STL,BLK,+/-,OFFRTG,DEFRTG,NETRTG,SALARY_CAP
Kobe Bryant,25244493.0,2010,LAL,32.0,82.0,57.0,25.0,25.3,1.4,5.1,4.7,3.0,1.2,0.1,5.2,111.5,104.2,7.3,58044000
Vince Carter,21300000.0,2010,PHX,34.0,73.0,38.0,35.0,14.0,1.6,3.8,2.0,1.2,0.9,0.3,1.7,108.0,104.6,3.4,58044000
Kevin Garnett,21247044.0,2010,BOS,35.0,71.0,49.0,22.0,14.9,0.0,8.9,2.4,1.6,1.3,0.8,7.8,109.2,96.4,12.9,58044000
Tim Duncan,21164619.0,2010,SAS,35.0,76.0,60.0,16.0,13.4,0.0,8.9,2.7,1.6,0.7,1.9,6.0,110.3,100.3,10.0,58044000
Rashard Lewis,21136631.0,2010,WAS,31.0,57.0,24.0,33.0,11.7,1.5,5.1,1.6,1.5,0.9,0.5,-1.2,102.6,104.3,-1.6,58044000
Gilbert Arenas,19269307.0,2010,ORL,29.0,70.0,35.0,35.0,10.8,1.4,2.7,3.9,2.5,1.1,0.3,-0.2,103.4,104.1,-0.7,58044000
Dirk Nowitzki,19092873.0,2010,DAL,33.0,73.0,55.0,18.0,23.0,0.9,7.0,2.6,1.9,0.5,0.6,7.3,110.7,100.4,10.3,58044000
Pau Gasol,18714150.0,2010,LAL,30.0,82.0,57.0,25.0,18.8,0.0,10.2,3.3,1.7,0.6,1.6,6.5,110.8,102.1,8.6,58044000
Carmelo Anthony,18518574.0,2010,NYK,27.0,77.0,43.0,34.0,25.6,1.2,7.3,2.9,2.7,0.9,0.6,2.4,112.2,108.4,3.8,58044000
Dwight Howard,18091770.0,2010,ORL,25.0,78.0,51.0,27.0,22.9,0.0,14.1,1.4,3.6,1.4,2.4,6.4,109.0,100.6,8.4,58044000
Joe Johnson,18038573.0,2010,ATL,30.0,72.0,38.0,34.0,18.2,1.2,4.0,4.7,2.0,0.7,0.1,1.2,107.0,105.5,1.6,58044000
Richard Hamilton,17500000.0,2010,DET,33.0,55.0,19.0,36.0,14.1,1.0,2.3,3.1,1.6,0.7,0.1,-2.6,105.4,110.3,-4.9,58044000
Elton Brand,17059727.0,2010,PHI,32.0,81.0,41.0,40.0,15.0,0.0,8.3,1.5,1.2,1.1,1.3,1.7,105.8,103.3,2.5,58044000
Chris Paul,16359805.0,2010,NOH,26.0,80.0,45.0,35.0,15.9,0.9,4.1,9.8,2.2,2.4,0.1,3.2,107.8,103.4,4.4,58044000
Deron Williams,16359805.0,2010,NJN,27.0,65.0,33.0,32.0,20.1,1.6,4.0,10.3,3.5,1.2,0.2,-1.8,108.0,110.3,-2.3,58044000
Brandon Roy,16032144.0,2010,POR,26.0,47.0,25.0,22.0,12.2,0.8,2.6,2.7,1.2,0.8,0.3,1.7,107.1,104.5,2.6,58044000
Chris Bosh,16022500.0,2010,MIA,27.0,77.0,55.0,22.0,18.7,0.1,8.3,1.9,1.8,0.8,0.6,7.9,111.7,100.5,11.2,58044000
LeBron James,16022500.0,2010,MIA,26.0,79.0,57.0,22.0,26.7,1.2,7.5,7.0,3.6,1.6,0.6,7.8,111.5,101.4,10.1,58044000
Dwyane Wade,15691000.0,2010,MIA,29.0,76.0,54.0,22.0,25.5,0.8,6.4,4.6,3.1,1.5,1.1,7.6,112.8,102.4,10.4,58044000
Kevin Durant,15506632.0,2010,OKC,22.0,78.0,52.0,26.0,27.7,1.9,6.8,2.7,2.8,1.1,1.0,3.4,110.8,106.8,4.1,58044000
Paul Pierce,15333334.0,2010,BOS,33.0,80.0,55.0,25.0,18.9,1.4,5.4,3.3,2.1,1.0,0.6,7.4,109.3,97.8,11.4,58044000
Baron Davis,15252181.0,2010,CLE,32.0,58.0,24.0,34.0,13.1,1.4,2.7,6.7,2.5,1.3,0.5,-0.2,108.6,109.3,-0.7,58044000
Zach Randolph,15200000.0,2010,MEM,29.0,75.0,43.0,32.0,20.1,0.1,12.2,2.2,2.0,0.8,0.3,3.5,109.1,104.4,4.7,58044000
Antawn Jamison,15076715.0,2010,CLE,35.0,56.0,9.0,47.0,18.0,1.6,6.7,1.7,1.4,0.9,0.5,-6.5,103.1,113.4,-10.4,58044000
Rudy Gay,15032144.0,2010,MEM,24.0,54.0,30.0,24.0,19.8,1.1,6.2,2.8,2.5,1.7,1.1,2.5,106.4,103.1,3.3,58044000
Andrew Bynum,14900000.0,2010,LAL,23.0,54.0,36.0,18.0,11.3,0.0,9.4,1.4,1.4,0.4,2.0,3.7,107.0,99.6,7.4,58044000
Chauncey Billups,14200000.0,2010,NYK,34.0,72.0,38.0,34.0,16.8,2.0,2.6,5.4,2.5,1.0,0.2,1.7,112.0,109.1,2.9,58044000
Chris Kaman,14030000.0,2010,LAC,29.0,32.0,11.0,21.0,12.4,0.0,7.0,1.4,1.8,0.5,1.5,-1.4,99.0,102.6,-3.6,58044000
Al Jefferson,14000000.0,2010,UTA,26.0,82.0,39.0,43.0,18.6,0.0,9.7,1.8,1.3,0.6,1.9,-2.0,107.7,110.8,-3.1,58044000
Andre Iguodala,13531750.0,2010,PHI,27.0,67.0,36.0,31.0,14.1,0.9,5.8,6.3,2.1,1.5,0.6,2.4,105.3,101.9,3.4,58044000
Carlos Boozer,13500000.0,2010,CHI,29.0,59.0,47.0,12.0,17.5,0.0,9.6,2.5,2.5,0.8,0.3,4.7,109.3,102.4,6.9,58044000
Tyson Chandler,13107837.0,2010,DAL,28.0,74.0,54.0,20.0,10.1,0.0,9.4,0.4,1.2,0.5,1.1,4.0,109.3,101.3,8.0,58044000
Manu Ginobili,12981038.0,2010,SAS,33.0,80.0,61.0,19.0,17.4,1.9,3.7,4.9,2.2,1.5,0.4,6.8,111.8,100.7,11.0,58044000
Marc Gasol,12922194.0,2010,MEM,26.0,81.0,46.0,35.0,11.7,0.0,7.0,2.5,1.8,0.9,1.7,1.7,106.4,103.9,2.6,58044000
Emeka Okafor,12541812.0,2010,NOH,28.0,72.0,43.0,29.0,10.3,0.0,9.5,0.6,1.7,0.6,1.8,2.0,106.4,102.5,3.8,58044000
Tony Parker,12500000.0,2010,SAS,29.0,78.0,60.0,18.0,17.5,0.3,3.1,6.6,2.6,1.2,0.0,3.9,109.0,102.5,6.4,58044000
Josh Smith,12400000.0,2010,ATL,25.0,77.0,43.0,34.0,16.5,0.7,8.5,3.3,2.6,1.3,1.6,1.0,105.3,103.4,1.9,58044000
LaMarcus Aldridge,12372000.0,2010,POR,25.0,81.0,48.0,33.0,21.8,0.0,8.8,2.1,1.9,1.0,1.2,3.5,109.1,104.2,4.9,58044000
Luol Deng,12325000.0,2010,CHI,26.0,82.0,62.0,20.0,17.4,1.4,5.8,2.8,1.9,1.0,0.6,6.4,107.0,98.8,8.2,58044000
Danny Granger,12015904.0,2010,IND,28.0,79.0,36.0,43.0,20.5,2.0,5.4,2.6,2.6,1.1,0.8,-0.2,104.4,104.6,-0.2,58044000
Andrew Bogut,12000000.0,2010,MIL,26.0,65.0,28.0,37.0,12.8,0.0,11.1,2.0,1.9,0.7,2.6,0.2,100.4,99.5,0.8,58044000
Joakim Noah,12000000.0,2010,CHI,26.0,48.0,36.0,12.0,11.7,0.0,10.4,2.2,1.9,1.0,1.5,3.7,106.9,101.1,5.7,58044000
Al Horford,12000000.0,2010,ATL,25.0,77.0,41.0,36.0,15.3,0.0,9.3,3.5,1.5,0.8,1.0,0.6,105.9,105.2,0.7,58044000
Steve Nash,11689062.0,2010,PHX,37.0,75.0,39.0,36.0,14.7,1.1,3.5,11.4,3.5,0.6,0.1,3.8,112.6,107.9,4.8,58044000
David Lee,11610000.0,2010,GSW,28.0,73.0,35.0,38.0,16.5,0.0,9.8,3.2,2.3,1.0,0.4,-1.6,108.1,110.1,-2.0,58044000
Ben Gordon,11600000.0,2010,DET,28.0,82.0,30.0,52.0,11.2,1.3,2.4,2.1,1.7,0.6,0.2,-1.4,107.2,110.0,-2.8,58044000
Kevin Martin,11519840.0,2010,HOU,28.0,80.0,42.0,38.0,23.5,2.2,3.2,2.5,2.3,1.0,0.2,2.0,111.6,108.2,3.4,58044000
Marcus Camby,11227250.0,2010,POR,37.0,59.0,32.0,27.0,4.7,0.0,10.3,2.1,1.1,0.7,1.6,0.5,106.4,105.1,1.3,58044000
Jason Terry,11158000.0,2010,DAL,33.0,82.0,57.0,25.0,15.8,1.5,1.9,4.1,2.0,1.1,0.2,4.0,109.7,103.7,5.9,58044000
Monta Ellis,11000000.0,2010,GSW,25.0,80.0,35.0,45.0,24.1,1.7,3.5,5.6,3.2,2.1,0.3,-2.9,106.7,110.1,-3.3,58044000
Mehmet Okur,10890000.0,2010,UTA,32.0,13.0,5.0,8.0,4.9,0.4,2.3,1.5,0.5,0.3,0.3,-2.5,104.9,113.5,-8.7,58044000
Corey Maggette,10262069.0,2010,MIL,31.0,67.0,25.0,42.0,12.0,0.4,3.6,1.3,1.9,0.3,0.1,-1.3,100.1,102.5,-2.3,58044000
Jason Kidd,10121000.0,2010,DAL,38.0,80.0,56.0,24.0,7.9,1.7,4.4,8.2,2.2,1.7,0.4,2.1,107.3,104.6,2.7,58044000
DeAndre Jordan,10079404.0,2010,LAC,22.0,80.0,31.0,49.0,7.1,0.0,7.2,0.5,1.3,0.5,1.8,-1.3,105.9,107.7,-1.8,58044000
Rajon Rondo,10045455.0,2010,BOS,25.0,68.0,47.0,21.0,10.6,0.1,4.4,11.2,3.4,2.3,0.2,6.5,108.6,99.8,8.9,58044000
David West,10000000.0,2010,NOH,30.0,70.0,40.0,30.0,18.9,0.0,7.6,2.3,2.0,1.0,0.9,2.1,106.6,103.6,3.0,58044000
Ray Allen,10000000.0,2010,BOS,35.0,80.0,55.0,25.0,16.5,2.1,3.4,2.7,1.5,1.0,0.2,5.7,108.0,99.7,8.2,58044000
Jose Calderon,9780992.0,2010,TOR,29.0,68.0,18.0,50.0,9.8,0.8,3.0,8.9,2.2,1.2,0.1,-2.5,105.8,110.2,-4.5,58044000
Gerald Wallace,9500000.0,2010,POR,28.0,71.0,36.0,35.0,15.7,0.9,8.0,2.4,2.1,1.5,0.9,1.7,107.2,104.7,2.4,58044000
Devin Harris,9319000.0,2010,UTA,28.0,71.0,24.0,47.0,15.2,0.8,2.4,7.1,2.9,1.0,0.1,-2.9,105.1,110.2,-5.1,58044000
Richard Jefferson,9282000.0,2010,SAS,31.0,81.0,60.0,21.0,11.0,1.7,3.8,1.3,1.1,0.5,0.4,3.6,109.3,103.0,6.3,58044000
Stephen Jackson,9256500.0,2010,CHA,33.0,67.0,30.0,37.0,18.5,1.8,4.5,3.6,3.1,1.2,0.4,-3.8,102.9,108.1,-5.2,58044000
Andrea Bargnani,9250000.0,2010,TOR,25.0,66.0,19.0,47.0,21.4,1.2,5.2,1.8,2.3,0.5,0.7,-4.8,105.7,112.9,-7.2,58044000
Andris Biedrins,9000000.0,2010,GSW,25.0,59.0,26.0,33.0,5.0,0.0,7.2,1.0,1.0,0.9,0.9,-4.0,103.0,111.4,-8.4,58044000
Boris Diaw,9000000.0,2010,CHA,29.0,82.0,34.0,48.0,11.3,1.0,5.0,4.1,2.0,0.9,0.6,-2.9,102.8,107.3,-4.5,58044000
Lamar Odom,8900000.0,2010,LAL,31.0,82.0,57.0,25.0,14.4,0.8,8.7,3.0,1.7,0.6,0.7,4.6,109.8,102.8,7.0,58044000
Luis Scola,8591793.0,2010,HOU,31.0,74.0,38.0,36.0,18.3,0.0,8.2,2.5,2.0,0.6,0.6,3.1,111.6,107.3,4.3,58044000
John Salmons,8500000.0,2010,MIL,31.0,73.0,30.0,43.0,14.0,1.1,3.6,3.5,1.9,1.0,0.4,-0.8,99.0,100.1,-1.1,58044000
Carl Landry,8500000.0,2010,NOH,27.0,76.0,25.0,51.0,11.9,0.0,4.6,0.8,1.4,0.5,0.4,-2.2,104.4,108.7,-4.3,58044000
Rodney Stuckey,8500000.0,2010,DET,25.0,70.0,25.0,45.0,15.5,0.4,3.1,5.2,2.2,1.1,0.1,-1.2,108.7,110.6,-1.9,58044000
Paul Millsap,8103435.0,2010,UTA,26.0,76.0,36.0,40.0,17.3,0.1,7.6,2.5,1.9,1.4,0.9,0.2,108.3,107.4,0.9,58044000
Kirk Hinrich,8100000.0,2010,ATL,30.0,72.0,24.0,48.0,10.2,1.0,2.5,4.0,1.7,1.0,0.2,-5.3,98.8,108.2,-9.4,58044000
Shawn Marion,8022449.0,2010,DAL,33.0,80.0,56.0,24.0,12.5,0.1,6.9,1.4,1.6,0.9,0.6,-0.1,105.0,105.0,0.0,58044000
Caron Butler,8000000.0,2010,DAL,31.0,29.0,21.0,8.0,15.0,1.0,4.1,1.6,1.7,1.0,0.3,5.1,107.2,98.5,8.7,58044000
Kris Humphries,8000000.0,2010,NJN,26.0,74.0,23.0,51.0,10.0,0.0,10.4,1.1,1.4,0.4,1.1,-3.3,101.7,107.8,-6.1,58044000
Andre Miller,7807728.0,2010,POR,35.0,81.0,47.0,34.0,12.7,0.0,3.7,7.0,2.4,1.4,0.1,3.1,109.5,104.9,4.6,58044000
Jameer Nelson,7800000.0,2010,ORL,29.0,76.0,49.0,27.0,13.1,1.6,3.0,6.0,2.6,1.0,0.0,4.1,109.5,102.5,7.0,58044000
Anderson Varejao,7700000.0,2010,CLE,28.0,31.0,8.0,23.0,9.1,0.0,9.7,1.5,1.3,0.9,1.2,-5.5,99.0,108.0,-9.0,58044000
Brendan Haywood,7624500.0,2010,DAL,31.0,72.0,50.0,22.0,4.4,0.0,5.2,0.3,0.7,0.2,1.0,-0.2,103.6,104.0,-0.5,58044000
Leandro Barbosa,7600000.0,2010,TOR,28.0,58.0,17.0,41.0,13.3,1.2,1.7,2.1,1.4,0.9,0.1,-2.5,105.3,110.2,-4.8,58044000
James Posey,7595600.0,2010,IND,34.0,49.0,19.0,30.0,4.9,1.4,3.0,0.7,0.5,0.5,0.1,-0.6,96.4,97.7,-1.4,58044000
Arron Afflalo,7562500.0,2010,DEN,25.0,69.0,40.0,29.0,12.6,1.5,3.6,2.4,1.0,0.5,0.4,2.3,111.0,107.3,3.6,58044000
Raymond Felton,7560000.0,2010,DEN,27.0,75.0,44.0,31.0,15.5,1.5,3.6,8.3,2.9,1.7,0.1,1.8,109.5,107.3,2.2,58044000
Charlie Villanueva,7540000.0,2010,DET,26.0,76.0,27.0,49.0,11.1,1.6,3.9,0.6,0.9,0.6,0.6,-1.8,105.8,110.2,-4.4,58044000
Marvin Williams,7500000.0,2010,ATL,25.0,65.0,34.0,31.0,10.4,0.6,4.8,1.4,1.0,0.5,0.4,-0.6,104.0,104.7,-0.7,58044000
Thaddeus Young,7478261.0,2010,PHI,23.0,82.0,41.0,41.0,12.7,0.1,5.3,1.0,1.2,1.1,0.3,2.0,105.4,101.1,4.3,58044000
Tyrus Thomas,7305765.0,2010,CHA,24.0,41.0,18.0,23.0,10.2,0.0,5.5,0.7,1.6,0.7,1.6,-0.5,100.4,101.7,-1.3,58044000
Kendrick Perkins,7123626.0,2010,OKC,26.0,29.0,21.0,8.0,6.0,0.0,8.0,0.9,1.9,0.3,0.9,3.3,105.7,98.6,7.1,58044000
Marcus Thornton,7000000.0,2010,SAC,24.0,73.0,37.0,36.0,12.8,1.2,3.5,1.8,1.3,0.9,0.1,-1.6,101.3,104.4,-3.1,58044000
Samuel Dalembert,7000000.0,2010,SAC,31.0,80.0,22.0,58.0,8.1,0.0,8.2,0.8,1.7,0.5,1.5,-3.2,101.3,106.6,-5.2,58044000
Travis Outlaw,7000000.0,2010,NJN,26.0,82.0,24.0,58.0,9.2,0.9,4.0,1.0,0.9,0.4,0.4,-4.2,101.3,109.1,-7.8,58044000
Derrick Rose,6993708.0,2010,CHI,22.0,81.0,62.0,19.0,25.0,1.6,4.1,7.7,3.4,1.0,0.6,6.2,109.1,100.7,8.5,58044000
Beno Udrih,6925400.0,2010,SAC,28.0,79.0,24.0,55.0,13.7,0.8,3.4,4.9,1.8,1.2,0.1,-3.4,102.0,107.6,-5.6,58044000
DeSagana Diop,6925400.0,2010,CHA,29.0,16.0,6.0,10.0,1.3,0.0,2.5,0.4,0.7,0.3,0.9,-2.5,92.4,101.9,-9.6,58044000
Marcin Gortat,6790640.0,2010,PHX,27.0,80.0,43.0,37.0,10.2,0.0,7.9,0.9,1.0,0.5,1.1,0.3,105.7,105.2,0.5,58044000
Trevor Ariza,6790640.0,2010,NOH,25.0,75.0,43.0,32.0,11.0,1.1,5.4,2.2,1.6,1.6,0.4,0.1,104.5,104.7,-0.2,58044000
Metta World Peace,6790640.0,2010,LAL,31.0,82.0,57.0,25.0,8.5,1.0,3.3,2.1,1.1,1.5,0.4,5.2,111.1,102.0,9.1,58044000
JJ Redick,6750000.0,2010,ORL,27.0,59.0,37.0,22.0,10.1,1.5,1.9,1.7,0.9,0.5,0.1,1.7,105.4,102.4,3.0,58044000
Kwame Brown,6750000.0,2010,CHA,29.0,66.0,27.0,39.0,7.9,0.0,6.8,0.7,1.0,0.4,0.6,-3.5,100.7,107.7,-7.0,58044000
Andres Nocioni,6650000.0,2010,PHI,31.0,54.0,23.0,31.0,6.1,0.8,3.1,0.8,0.9,0.3,0.3,-2.6,98.7,106.5,-7.8,58044000
Mike Conley,6611571.0,2010,MEM,23.0,81.0,46.0,35.0,13.7,1.0,3.0,6.5,2.2,1.8,0.2,3.7,109.2,103.8,5.4,58044000
Mickael Pietrus,6523166.0,2010,PHX,29.0,57.0,33.0,24.0,7.2,1.5,2.2,0.6,0.7,0.5,0.4,-0.4,99.6,100.3,-0.7,58044000
Grant Hill,6500000.0,2010,PHX,38.0,80.0,39.0,41.0,13.2,0.6,4.2,2.5,1.7,0.8,0.4,0.6,109.5,108.5,1.0,58044000
Andray Blatche,6442083.0,2010,WAS,24.0,64.0,21.0,43.0,16.8,0.1,8.2,2.3,2.7,1.5,0.8,-3.8,101.8,107.9,-6.1,58044000
Glen Davis,6300000.0,2010,BOS,25.0,78.0,54.0,24.0,11.7,0.0,5.4,1.2,1.1,1.0,0.4,1.8,102.6,99.0,3.6,58044000
Tayshaun Prince,6292135.0,2010,DET,31.0,78.0,29.0,49.0,14.1,0.4,4.2,2.8,1.1,0.4,0.5,-1.7,107.4,110.3,-2.9,58044000
Michael Beasley,6262347.0,2010,MIN,22.0,73.0,14.0,59.0,19.2,0.8,5.6,2.2,2.7,0.7,0.7,-3.8,102.8,108.4,-5.6,58044000
Drew Gooden,6226200.0,2010,MIL,29.0,35.0,14.0,21.0,11.3,0.1,6.8,1.3,1.3,0.6,0.5,-1.1,99.9,102.1,-2.2,58044000
Al Harrington,6226200.0,2010,DEN,31.0,73.0,45.0,28.0,10.5,1.6,4.5,1.4,1.5,0.5,0.1,1.8,111.6,106.9,4.8,58044000
Jermaine O'Neal,6226200.0,2010,BOS,32.0,24.0,13.0,11.0,5.4,0.0,3.7,0.5,1.1,0.1,1.3,0.6,98.7,96.9,1.7,58044000
Wesley Matthews,6135160.0,2010,POR,24.0,82.0,48.0,34.0,15.9,1.9,3.1,2.0,1.7,1.2,0.1,1.9,107.5,104.7,2.8,58044000
Josh Childress,6000000.0,2010,PHX,28.0,54.0,23.0,31.0,5.0,0.0,2.9,0.8,0.8,0.6,0.4,-2.4,105.1,111.9,-6.8,58044000
Francisco Garcia,5800000.0,2010,SAC,29.0,58.0,18.0,40.0,9.7,1.4,2.3,1.2,0.8,0.9,0.8,-2.0,101.7,106.4,-4.6,58044000
Kyle Lowry,5750000.0,2010,HOU,25.0,75.0,40.0,35.0,13.5,1.7,4.1,6.7,2.1,1.4,0.3,4.1,111.4,105.6,5.8,58044000
Blake Griffin,5731080.0,2010,LAC,22.0,82.0,32.0,50.0,22.5,0.1,12.1,3.8,2.7,0.8,0.5,-1.8,105.9,108.0,-2.2,58044000
Luke Walton,5680000.0,2010,LAL,31.0,54.0,39.0,15.0,1.7,0.1,1.2,1.1,0.6,0.2,0.1,0.6,101.0,97.0,3.9,58044000
Channing Frye,5600000.0,2010,PHX,28.0,77.0,39.0,38.0,12.7,2.2,6.7,1.2,0.9,0.6,1.0,1.3,109.8,107.7,2.1,58044000
John Wall,5530080.0,2010,WAS,20.0,69.0,19.0,50.0,16.4,0.5,4.6,8.3,3.8,1.8,0.5,-6.4,100.2,109.0,-8.8,58044000
Amir Johnson,5500000.0,2010,TOR,24.0,72.0,20.0,52.0,9.6,0.0,6.4,1.1,1.0,0.7,1.2,-1.8,106.6,109.1,-2.4,58044000
Nate Robinson,5483307.0,2010,OKC,27.0,59.0,44.0,15.0,6.8,1.1,1.5,1.9,1.2,0.5,0.1,0.6,101.1,99.7,1.4,58044000
Mike Miller,5400000.0,2010,MIA,31.0,41.0,27.0,14.0,5.6,1.0,4.5,1.2,1.0,0.5,0.0,-0.8,104.5,107.1,-2.5,58044000
Jason Richardson,5395000.0,2010,ORL,30.0,80.0,47.0,33.0,15.6,2.4,4.1,1.8,1.2,1.2,0.2,3.3,110.4,105.5,4.9,58044000
Martell Webster,5256000.0,2010,MIN,24.0,46.0,7.0,39.0,9.8,1.2,3.2,1.2,1.3,0.6,0.2,-5.5,101.6,112.2,-10.5,58044000
Chuck Hayes,5250000.0,2010,HOU,28.0,74.0,41.0,33.0,7.9,0.0,8.1,2.7,1.2,1.1,0.7,2.8,112.0,105.8,6.1,58044000
Hasheem Thabeet,5127720.0,2010,HOU,24.0,47.0,23.0,24.0,1.1,0.0,1.6,0.1,0.4,0.2,0.3,-2.6,97.8,110.9,-13.1,58044000
Russell Westbrook,5082416.0,2010,OKC,22.0,82.0,55.0,27.0,21.9,0.4,4.6,8.2,3.9,1.9,0.4,1.4,108.9,106.8,2.1,58044000
Jamal Crawford,5000000.0,2010,ATL,31.0,76.0,40.0,36.0,14.2,1.6,1.7,3.2,1.9,0.8,0.2,0.0,106.5,106.5,0.0,58044000
Jarrett Jack,5000000.0,2010,NOH,27.0,83.0,39.0,44.0,8.9,0.4,2.1,2.9,1.3,0.7,0.1,-2.1,101.6,106.3,-4.7,58044000
Luc Mbah a Moute,5000000.0,2010,MIL,24.0,79.0,34.0,45.0,6.7,0.0,5.3,0.9,1.0,0.9,0.4,-0.7,99.6,99.7,-0.2,58044000
Jason Maxiell,5000000.0,2010,DET,28.0,57.0,17.0,40.0,4.2,0.0,3.0,0.3,0.8,0.4,0.4,-2.4,104.4,111.3,-6.8,58044000
Kyle Korver,5000000.0,2010,CHI,30.0,82.0,62.0,20.0,8.3,1.5,1.8,1.5,0.7,0.4,0.2,3.7,107.3,99.3,8.0,58044000
Evan Turner,4947840.0,2010,PHI,22.0,78.0,40.0,38.0,7.2,0.2,3.9,2.0,1.0,0.6,0.2,-0.6,101.0,102.2,-1.2,58044000
Darko Milicic,4776500.0,2010,MIN,26.0,69.0,15.0,54.0,8.8,0.0,5.2,1.5,2.2,0.8,2.0,-3.5,101.5,107.9,-6.3,58044000
Brad Miller,4752000.0,2010,HOU,35.0,60.0,32.0,28.0,6.4,0.7,3.7,2.4,0.9,0.5,0.4,0.7,106.3,104.5,1.8,58044000
Zaza Pachulia,4750000.0,2010,ATL,27.0,79.0,43.0,36.0,4.4,0.0,4.2,0.7,0.9,0.4,0.3,-1.7,101.2,106.4,-5.2,58044000
Ronnie Brewer,4710000.0,2010,CHI,26.0,81.0,61.0,20.0,6.2,0.1,3.2,1.7,0.7,1.3,0.3,3.0,101.8,93.9,7.9,58044000
Kevin Love,4609701.0,2010,MIN,22.0,73.0,17.0,56.0,20.2,1.2,15.2,2.5,2.1,0.6,0.4,-3.7,104.2,109.5,-5.3,58044000
Linas Kleiza,4605000.0,2010,TOR,26.0,39.0,12.0,27.0,11.2,1.0,4.5,1.0,1.7,0.5,0.2,-1.6,105.3,108.5,-3.3,58044000
James Harden,4604760.0,2010,OKC,21.0,82.0,55.0,27.0,12.2,1.4,3.1,2.1,1.3,1.1,0.3,2.5,109.2,104.3,4.9,58044000
Nikola Pekovic,4503600.0,2010,MIN,25.0,65.0,15.0,50.0,5.5,0.0,3.0,0.4,1.4,0.3,0.5,-3.3,97.0,107.8,-10.8,58044000
Derrick Favors,4443360.0,2010,UTA,19.0,78.0,25.0,53.0,6.8,0.0,5.3,0.5,1.0,0.4,0.9,-3.0,98.0,104.7,-6.7,58044000
Daniel Gibson,4403834.0,2010,CLE,25.0,67.0,18.0,49.0,11.6,1.8,2.6,3.0,1.2,0.7,0.3,-2.9,102.3,107.8,-5.5,58044000
Ronny Turiaf,4360000.0,2010,NYK,28.0,64.0,32.0,32.0,4.2,0.0,3.2,1.4,0.6,0.5,1.1,-0.2,103.8,103.2,0.6,58044000
Ramon Sessions,4257973.0,2010,CLE,25.0,81.0,19.0,62.0,13.3,0.0,3.1,5.2,2.2,0.7,0.1,-6.1,101.3,112.8,-11.5,58044000
Jared Dudley,4250000.0,2010,PHX,25.0,82.0,40.0,42.0,10.6,1.3,3.9,1.3,0.9,1.1,0.2,-0.4,106.0,106.6,-0.5,58044000
Randy Foye,4250000.0,2010,LAC,27.0,63.0,28.0,35.0,9.8,1.1,1.6,2.7,1.5,0.7,0.3,-3.1,102.8,108.9,-6.1,58044000
Brandon Bass,4250000.0,2010,ORL,26.0,76.0,49.0,27.0,11.2,0.0,5.6,0.8,1.3,0.4,0.7,2.1,103.9,98.9,5.0,58044000
Chris Andersen,4234000.0,2010,DEN,32.0,45.0,29.0,16.0,5.6,0.0,4.9,0.4,0.6,0.5,1.3,2.0,106.4,100.2,6.2,58044000
Danilo Gallinari,4190182.0,2010,DEN,22.0,62.0,34.0,28.0,15.6,1.7,4.9,1.7,1.3,0.8,0.4,1.1,108.7,106.9,1.8,58044000
Tyreke Evans,4151640.0,2010,SAC,21.0,57.0,18.0,39.0,17.8,0.8,4.8,5.6,3.2,1.5,0.5,-3.5,101.7,106.4,-4.7,58044000
Charlie Bell,4099920.0,2010,GSW,32.0,19.0,7.0,12.0,1.7,0.3,0.9,0.7,0.3,0.3,0.1,0.0,101.8,100.0,1.8,58044000
Spencer Hawes,4051024.0,2010,PHI,23.0,81.0,41.0,40.0,7.2,0.1,5.7,1.5,1.2,0.4,0.9,-0.7,102.9,104.0,-1.1,58044000
Wesley Johnson,4006080.0,2010,MIN,23.0,79.0,17.0,62.0,9.0,1.3,3.0,1.9,1.2,0.7,0.7,-2.8,103.7,109.1,-5.4,58044000
Hakim Warrick,4000000.0,2010,PHX,28.0,80.0,39.0,41.0,8.4,0.0,3.7,0.9,1.0,0.4,0.1,-2.3,104.3,110.0,-5.6,58044000
Mario Chalmers,4000000.0,2010,MIA,25.0,70.0,52.0,18.0,6.4,1.2,2.1,2.5,1.3,1.1,0.1,3.7,108.8,100.5,8.4,58044000
Steve Blake,4000000.0,2010,LAL,31.0,79.0,55.0,24.0,4.0,0.9,2.0,2.2,0.9,0.5,0.0,1.0,104.1,101.7,2.4,58044000
Ryan Gomes,4000000.0,2010,LAC,28.0,76.0,29.0,47.0,7.2,0.9,3.3,1.6,0.7,0.8,0.2,-1.5,105.9,108.8,-2.9,58044000
Anthony Morrow,4000000.0,2010,NJN,25.0,58.0,17.0,41.0,13.2,1.9,3.0,1.2,0.9,0.3,0.1,-2.1,102.0,106.3,-4.3,58044000
Jordan Farmar,4000000.0,2010,NJN,24.0,73.0,23.0,50.0,9.6,1.5,2.4,5.0,1.9,0.8,0.1,-2.4,99.7,106.5,-6.7,58044000
Matt Carroll,3900000.0,2010,CHA,30.0,54.0,24.0,30.0,4.4,0.3,1.3,0.4,0.4,0.3,0.1,-1.2,98.3,105.1,-6.8,58044000
Eric Gordon,3831184.0,2010,LAC,22.0,56.0,25.0,31.0,22.3,1.9,2.9,4.4,2.7,1.3,0.3,0.0,108.2,108.2,-0.1,58044000
