,PLAYER,2012/13(*),
486,Solomon Jones,"$62,912 ","$70,675 "
487,Jerel McNeal,"$61,289 ","$68,852 "
488,Damion James,"$50,258 ","$56,460 "
489,Andrew Goudelock,"$44,835 ","$50,367 "
489,Justin Dentmon,"$44,835 ","$50,367 "
491,Josh Akognon,"$41,788 ","$46,944 "
492,Eddy Curry,"$31,629 ","$35,532 "
493,Chris Wright,"$27,859 ","$31,296 "
494,Henry Sims,"$25,073 ","$28,167 "
MORE,,,
